"gene","log2FoldChange","AveExpr","t","pvalue","padj"
"HMGA2",4.18283449649728,2.5207152708794,28.99926106091,1.32268865329463e-10,8.18695254590282e-07
"TWIST1",2.85665965748323,0.841908401543674,28.9518520707233,1.3432243717642e-10,8.18695254590282e-07
"TES",-3.51446618452049,2.19355439575261,-21.4589018573137,2.22981771669342e-09,9.0604926554976e-06
"LIN28A",6.33999216693807,3.45301343171525,20.3476962982007,3.66164938149767e-09,1.11588764901142e-05
"JPH1",1.90298514550467,1.0076327142302,19.0519541028735,6.75429331076941e-09,1.41854938151227e-05
"TRIO",1.8012010043383,0.709101477115522,18.9840251991927,6.98219547914162e-09,1.41854938151227e-05
"TGIF2LX",1.40857534927996,0.35214383731999,18.2165078834323,1.02407776698492e-08,1.78335828279232e-05
"COLGALT2",-2.82917815318321,1.64810894839083,-16.4832769854302,2.58117513346791e-08,3.93306560962172e-05
"PALMD",3.00504826241698,2.72490011873403,15.5871763806105,4.31748774638289e-08,5.47980247664902e-05
"HCLS1",-2.71214330116199,2.01489336416967,-15.5188241407079,4.49532606780067e-08,5.47980247664902e-05
"SH3PXD2B",1.17518094177207,0.354604548637917,15.2398780435585,5.30950893220738e-08,5.88390126214618e-05
"ARHGEF10",1.67683847727158,1.92128517072329,14.8574630043802,6.70169764713769e-08,6.80780785988403e-05
"SRGN",-4.79652437898893,5.00513866010801,-13.876413051968,1.25038447302754e-07,0.000117211804517625
"HDAC9",1.24612743843332,0.428506659443614,13.7457564960465,1.36280516634814e-07,0.000117211804517625
"HDGFRP3",-2.38708981581815,1.64005997998719,-13.6603207080508,1.44231096617258e-07,0.000117211804517625
"SYK",-1.51332113244542,1.81977012704168,-12.8309097661052,2.54493738130338e-07,0.000187690833029702
"C12orf75",2.18930298274134,1.38411846940521,12.74169297515,2.71054917572412e-07,0.000187690833029702
"ARHGDIB",-4.10617108245916,2.82152905988551,-12.6982821267425,2.79538922618361e-07,0.000187690833029702
"HOXA1",1.75823329048928,0.468490912145417,12.5777383436646,3.04667832322574e-07,0.000187690833029702
"PTPRC",2.65182819656471,4.03563756777886,12.5628399466313,3.07942301935524e-07,0.000187690833029702
"ZNF728",2.64029522661927,1.60775398597766,12.4472822504552,3.34694655307087e-07,0.0001942822784854
"DACH1",1.13236536017494,0.658164531330527,12.2348569271972,3.90792984334996e-07,0.000216534839956527
"SPINT1",-1.03338413879659,1.21492142398936,-12.0584300987476,4.45283563299169e-07,0.000236000288548559
"PAPSS1",-3.82368436304547,2.97863879485826,-11.9406626663676,4.86283585428588e-07,0.000246991537765604
"CHST3",1.05848735819555,0.292202208257264,11.7849600578099,5.46992011893255e-07,0.000266713304999151
"SYTL5",1.40781497097943,0.465466065774879,11.5749895870061,6.42438790755373e-07,0.000301204956127231
"SORT1",-1.02984434243757,4.49550856601931,-11.4436065600281,7.11390578577939e-07,0.000317033007939416
"DGKG",0.808916785233788,0.321653911054,11.4136710426453,7.28213635956002e-07,0.000317033007939416
"NOTCH2",2.27615450202284,1.53089778132353,11.1761457572088,8.7828650958754e-07,0.000369183191443866
"CSAG3",-1.34057786342358,2.16252852214238,-11.0774732323196,9.50355640829623e-07,0.000376517340679359
"S100A16",2.36855352157462,2.3569719664486,11.0681300782499,9.57509233885162e-07,0.000376517340679359
"ADGRA3",2.44736667412429,0.886487057592804,10.9036205068176,1.09365858720182e-06,0.000416615568062195
"AR",0.775945604874363,0.195540299992167,10.7859610837819,1.20404212087519e-06,0.00044476586222632
"RAB11A",-0.949227467088048,4.6357212112398,-10.6398786533033,1.35843763962069e-06,0.00048703984785224
"PPIP5K1",-0.829807200907228,2.57138722903822,-10.5154872920272,1.50711710178898e-06,0.000524907356308789
"EPCAM",-1.45299206947725,5.04120625250888,-10.4491625425376,1.59362108404234e-06,0.000539617805957671
"SOX6",-1.2108439023098,0.887954804078443,-10.3652847271223,1.71090827809987e-06,0.000555502570876259
"CMPK2",-1.13750574003236,1.75138799098636,-10.3510931723196,1.73167331364215e-06,0.000555502570876259
"ALDH1A1",-2.10015864918648,1.47220130217551,-10.2588469040586,1.87357571779149e-06,0.000580244121110272
"NET1",-1.04054857233015,5.53559723995373,-10.2400667082112,1.9040003974086e-06,0.000580244121110272
"B2M",-1.12793004721917,7.94943411905551,-9.8341223118547,2.71394646891168e-06,0.00079370713918484
"FLT3",3.84030028668685,6.92178504297301,9.78148521770807,2.84413876231354e-06,0.00079370713918484
"COL1A2",-1.89747237796883,0.984297267052021,-9.76670627031262,2.88191246526175e-06,0.00079370713918484
"HYAL1",-1.51380721069487,0.961404484363478,-9.75378743495023,2.91538244567797e-06,0.00079370713918484
"CD36",5.14408441376518,2.9782798640457,9.74819241286707,2.93000994777012e-06,0.00079370713918484
"IL18",-1.87914909249771,1.46918829100737,-9.69635094719701,3.06943316823383e-06,0.000813399789581966
"WNT5B",-1.82679950137342,1.66264581495026,-9.5497492935066,3.5046188104838e-06,0.000903859645655698
"ING4",-0.77105751645489,2.02322273092543,-9.53281736069664,3.55908638158109e-06,0.000903859645655698
"DUSP21",1.83886399023102,1.31498848391072,9.46457647745574,3.78819795291951e-06,0.00094241087849161
"DUSP13",-1.43303524908531,2.04958706955548,-9.44128886806908,3.8700416981128e-06,0.0009435161659999
"ADAMTS9",1.27421855053853,0.514464684898745,9.26818428997949,4.54272433006616e-06,0.00107056915347689
"SUGCT",2.02806150577047,1.49482888444113,9.26251371719068,4.56682493689894e-06,0.00107056915347689
"PRDM9",2.77624350607753,1.92680548367361,9.18889510122368,4.89274996419635e-06,0.00112533249176516
"HES1",0.916219918697985,3.11746642616838,9.10733559908961,5.28384999151052e-06,0.00119278021104654
"ABHD2",-0.841454506244234,3.89277301266799,-9.06400828871624,5.50543328800819e-06,0.00122020421419672
"CROT",-1.21075001833615,1.04840804197547,-8.99922811140729,5.8559285854536e-06,0.00127471016886928
"AGPAT4",-1.11699977634965,0.85825076436956,-8.9335077134352,6.23661779224728e-06,0.00133376089276306
"KIAA0040",-1.89336940039451,0.988967378762549,-8.8963763676048,6.46361353024094e-06,0.0013584732574765
"ZFAND6",-0.898112247616556,4.74894892532708,-8.84173832321757,6.81423502806191e-06,0.00140789025410296
"RBM47",-0.8671214612969,1.56150142645043,-8.81436122866207,6.99769853452632e-06,0.00142169908559793
"FMNL2",1.8517275282831,0.751925976902455,8.77333342527404,7.28283367434343e-06,0.00145537282770896
"ARNTL2",0.987110602597711,0.873684959231948,8.7435661321826,7.49765916562197e-06,0.00146344199685001
"KIF7",1.00085175168363,0.250212937920909,8.73465389210348,7.56331794926583e-06,0.00146344199685001
"TNFSF9",-1.7668325195788,1.81711826187266,-8.6634912652557,8.11071841142835e-06,0.00154483839742674
"BTBD1",-0.896938717757907,4.61226439767529,-8.61211504040709,8.53281047201078e-06,0.00160023014852018
"SAMSN1",-1.50806337533443,4.97660970504346,-8.58911080213517,8.72953996877484e-06,0.00161231957908129
"PYCARD",-2.48363363625079,1.8284600774965,-8.48503811409903,9.68367830703185e-06,0.00176185132183162
"MAGEH1",-1.36767943043116,1.79872330187098,-8.46425741278373,9.88752776503693e-06,0.00176522364181344
"HOTS",3.84676254085116,4.75052360376988,8.45380479922065,9.99183193479305e-06,0.00176522364181344
"ZNF527",0.815674767327725,0.713724982199826,8.39895749384872,1.05592187647278e-05,0.00183881252488618
"APH1B",-0.765337417563543,1.6759077356361,-8.37638495843256,1.08028734768356e-05,0.00184842241810123
"NMNAT3",1.00213253052009,1.30774965893631,8.35993144054857,1.09843467943224e-05,0.00184842241810123
"SLC44A1",1.76497102370931,1.0897467307069,8.35233029146087,1.10693057031493e-05,0.00184842241810123
"ERVMER34-1",1.87829722280478,1.51987177011783,8.28754605873557,1.18232386858842e-05,0.00194763891325579
"SLCO2B1",1.4543709726021,1.51870858239561,8.23170408859473,1.25182299582572e-05,0.00203462964254873
"SP6",-0.894032815527961,0.77296314558196,-8.11003087607748,1.41921746272949e-05,0.00227635011456217
"RUNX3",0.720697493972148,0.223300088513447,8.04969720932103,1.51116243577217e-05,0.00236200339133631
"GMFG",-2.09785361483375,3.07066575506973,-8.0031809767144,1.58648964252852e-05,0.00236200339133631
"PAM",1.88318815528007,0.968623762986014,7.99906661741186,1.59334701205186e-05,0.00236200339133631
"BLOC1S6",-0.778709319352672,4.04867614819171,-7.992590578957,1.60420618790215e-05,0.00236200339133631
"SPRED1",-0.688823879797641,2.05685475401389,-7.99225360396937,1.60477344194508e-05,0.00236200339133631
"EPB41L2",-0.831274914650785,3.55615392413729,-7.99086311796774,1.60711646247318e-05,0.00236200339133631
"IFT46",-0.712816086231594,2.54366716452624,-7.9901882560481,1.60825497523309e-05,0.00236200339133631
"BBS4",-0.871290381094894,3.42525196974873,-7.95916258732571,1.66155867170109e-05,0.00241123812000431
"LCP1",-5.10276820238595,4.4063346794793,-7.93252522625326,1.70886287850606e-05,0.00242598624979065
"WHAMM",-0.667066721984836,1.60968995903558,-7.93105051660569,1.71152434357667e-05,0.00242598624979065
"HEPH",-1.35442631199301,4.51410699697294,-7.8916343485714,1.78436305594465e-05,0.00249156821837198
"SGCZ",1.31700099913719,0.92516488753715,7.88409808342989,1.79867106822587e-05,0.00249156821837198
"VPS35",0.993912513765062,5.63717213756067,7.86461055651913,1.83625279599475e-05,0.00251504736889618
"SH3GL3",-2.02097682229164,1.47808746717264,-7.77806967821186,2.01381345574454e-05,0.00272759844728065
"TLE2",-1.17415277460885,1.76268406119445,-7.76479457363297,2.0426699162428e-05,0.00273627981087909
"ZNF790",0.776289934902407,0.651314586970729,7.73166850315651,2.1166625753155e-05,0.00279640985035782
"RPS27L",-0.910008300726605,4.27387161539099,-7.72433372056537,2.13343819592516e-05,0.00279640985035782
"ARPP19",-0.767839144122179,4.56612204240716,-7.70160523550308,2.18634853878483e-05,0.00283527539231777
"WWTR1",1.06699022177648,0.777155309074439,7.66785405062278,2.26757693765176e-05,0.00288828065390677
"LEF1",-3.123748037824,1.93410048263103,-7.66499400749026,2.2746098668995e-05,0.00288828065390677
"PASD1",-1.04279498400473,0.608968855808243,-7.6538153591521,2.30232745801989e-05,0.00289333729002706
"C10orf128",1.87521343920724,4.06616408224972,7.58543228705594,2.4801076601756e-05,0.00308495024260618
"MPZ",-1.5189722884999,1.95013833023548,-7.5701108557638,2.52195841439654e-05,0.00310229731336436
"SSX2B",-3.49126231634498,2.50389272785802,-7.56181021717401,2.54495267708315e-05,0.00310229731336436
"CA8",-0.587210568584307,4.41709847859203,-7.47210862723247,2.80855395452104e-05,0.00335596322843502
"MFAP1",-0.677628730988246,4.7185990791004,-7.46357580786385,2.83513743388982e-05,0.00335596322843502
"PGPEP1",-0.741699584949613,3.46630832955538,-7.46341612851956,2.83563751049063e-05,0.00335596322843502
"IFFO2",0.628646752750339,0.482061387938068,7.43911021516827,2.91288994754083e-05,0.0034142431212041
"FAM167A",1.01262228127965,0.446777129871766,7.40345830066945,3.03038186842817e-05,0.00344276603806706
"CPZ",1.15556892296652,0.627020447387711,7.40040665674562,3.0406758863481e-05,0.00344276603806706
"PLOD2",-1.3174579481486,0.426050885355095,-7.39952118300254,3.04366995165431e-05,0.00344276603806706
"RCSD1",-1.30828717720437,4.12087053787483,-7.3975948206776,3.05019468507992e-05,0.00344276603806706
"TNNT1",-1.34473279382809,5.36736496313304,-7.35220880921165,3.20841326347529e-05,0.00354884918267005
"TUBB1",2.47066404170544,3.13427473483757,7.34999357567554,3.21636115415958e-05,0.00354884918267005
"GABRA3",-0.86640964259546,0.747260283151389,-7.34578504934576,3.23151976436732e-05,0.00354884918267005
"TRPM7",-0.770619769337828,3.1297268662326,-7.30486238225276,3.38304177255912e-05,0.00368207850066926
"TANC2",1.10822721304426,1.51597304483822,7.2305232394011,3.67846133305963e-05,0.00395567104590208
"FAM84A",1.70928902020927,0.879607272243215,7.22552331733334,3.69931500601179e-05,0.00395567104590208
"HSP90AA1",0.638530030766956,9.79438878500448,7.18394776920732,3.87778552135886e-05,0.00407964762150783
"TMEM144",-2.08345515364952,1.07411830627934,-7.18294791619057,3.88219133794019e-05,0.00407964762150783
"PKM",-1.25436922376533,7.3191908467135,-7.15251100799859,4.01895177878549e-05,0.00418290529456838
"AQP1",1.2983686011668,2.69108309344809,7.14595730327194,4.04907977653051e-05,0.00418290529456838
"SSX1",-4.24108364324239,2.54137350520452,-7.12061237586774,4.16792639631712e-05,0.00426949771185763
"CHP1",-0.799171374919064,4.77246304078559,-7.09508382607366,4.29148024320254e-05,0.00435942868038658
"FAN1",-1.16920149631716,2.29114304609732,-7.03057212865238,4.62182368546886e-05,0.00464285484501433
"PRC1",-0.689936412954281,5.31526686813591,-7.0259254430901,4.64666358565832e-05,0.00464285484501433
"DUSP3",0.831515072174144,3.44049386410223,6.99760721164446,4.80121839269284e-05,0.00475828066722973
"GALM",-2.09165776537821,3.10944211208701,-6.98362946757078,4.87955867561638e-05,0.00479692098836804
"ST8SIA6",-0.685765169220984,1.82181504564347,-6.95721590485538,5.03141846406106e-05,0.00490663928615235
"TP53BP1",-0.622802196588184,3.64971987123437,-6.92401492219001,5.22963096796163e-05,0.00505946043646446
"STARD10",-0.669793188599333,2.97465614447164,-6.89018856965812,5.44033746010422e-05,0.00521847398845143
"RAB27A",-1.2075575233965,4.77581600732751,-6.87740614078374,5.5223469340984e-05,0.00521847398845143
"PLPP3",0.51289789207697,0.201517848483228,6.87739465871091,5.52242120188871e-05,0.00521847398845143
"RASSF5",-1.72633527857491,3.16611274470441,-6.82257620873473,5.88968275469713e-05,0.00552271021382754
"TMSB4X",-1.24912252467653,8.67684701807555,-6.7840039041897,6.16397515855745e-05,0.00571487278979256
"AKR1C1",-1.24180599351052,5.89420977616063,-6.78066302636046,6.18837742619047e-05,0.00571487278979256
"GANC",-0.682118299295513,2.00727476228323,-6.73649575953776,6.52103619541222e-05,0.00597679934000564
"KANK1",1.49323450030144,0.516522022671355,6.72115932409746,6.64104876336508e-05,0.00604137197204629
"ESRRB",1.5504271801787,2.7301578422971,6.67380002207829,7.0270405236846e-05,0.00632117905581522
"KIF1A",4.53194330299704,2.52931607375097,6.66993266380032,7.05961959268572e-05,0.00632117905581522
"GMPR",-1.1405319147798,4.36965649314649,-6.66005803391545,7.1435507711085e-05,0.00632117905581522
"RGS16",0.696091658181553,0.458271692157116,6.65859805523858,7.15605176130025e-05,0.00632117905581522
"PIP5K1B",-0.806869686948821,2.12869592031945,-6.61570985392755,7.53408327576952e-05,0.00660722842673601
"EIF3J",-0.723440799218672,6.03007279873477,-6.59891516865466,7.68797604321796e-05,0.00667743036279562
"FAM101B",1.13222507564079,2.73102202176175,6.59506987910646,7.72368893481692e-05,0.00667743036279562
"RASSF3",-0.538020393626066,3.55714224491036,-6.57597968773297,7.90367333188986e-05,0.00674137193212231
