"gene","log2FoldChange","AveExpr","t","pvalue","padj"
"HMGA2",4.2602500068137,2.5207152708794,29.5359766770095,1.11288028783356e-10,7.93226246400495e-07
"TWIST1",2.86626340355125,0.841908401543674,29.0491847140284,1.30143764790893e-10,7.93226246400495e-07
"FLT3",10.4891760363074,6.92178504297301,26.7165879451564,2.86047404356792e-10,1.16230595303643e-06
"TES",-3.45387059667652,2.19355439575261,-21.0889125888844,2.62286723490162e-09,6.84951418478369e-06
"LIN28A",6.52271490666003,3.45301343171525,20.9341302742593,2.80948079769634e-09,6.84951418478369e-06
"COLGALT2",-3.36662661467925,1.64810894839083,-19.6145438680989,5.15310225306818e-09,1.04693860774835e-05
"JPH1",1.91111151604471,1.0076327142302,19.1333121938274,6.49206674699346e-09,1.13054705208358e-05
"TGIF2LX",1.40857534927996,0.35214383731999,18.2165078834323,1.02407776698492e-08,1.56043849744328e-05
"TRIO",1.63084004770322,0.709101477115522,17.1884806231407,1.75334681889194e-08,2.37481085803253e-05
"PALMD",3.25739039774781,2.72490011873403,16.8960742844658,2.05449519668252e-08,2.50442964475599e-05
"SH3PXD2B",1.21770213706037,0.354604548637917,15.7912976653597,3.8309267891957e-08,4.24536341457233e-05
"HDGFRP3",-2.70543876976509,1.64005997998719,-15.4820991678182,4.59419729320163e-08,4.62363645262835e-05
"GDA",-1.21852079795586,0.406927901060809,-15.3419691097624,4.99406593783827e-08,4.62363645262835e-05
"SRGN",-5.26774906836053,5.00513866010801,-15.2396727611543,5.31016491688243e-08,4.62363645262835e-05
"CSAG3",-1.67210414878207,2.16252852214238,-13.8169437636993,1.3002352598748e-07,0.000105665785452492
"HDAC9",1.22957891430177,0.428506659443614,13.5632133820234,1.53893114904005e-07,0.000117247316917488
"ALDH1A1",-2.74419681975453,1.47220130217551,-13.4048420862735,1.71214930494914e-07,0.000122771176631353
"DACH1",1.22752955522652,0.658164531330527,13.2630765743154,1.88551808176095e-07,0.000127691474537033
"C12orf75",2.24427717802585,1.38411846940521,13.0616415265351,2.16597974240051e-07,0.000138964700315064
"ARHGEF10",1.44695909806612,1.92128517072329,12.8206392921928,2.56342322517864e-07,0.000150984257374701
"ZNF728",2.69960933417045,1.60775398597766,12.726909858262,2.73911839044245e-07,0.000150984257374701
