"gene","log2FoldChange","AveExpr","t","pvalue","padj"
"HMGA2",5.08606169289535,2.5207152708794,35.261263845767,2.09170217901733e-11,2.54978495622213e-07
"CENPP",2.88420029324309,0.721050073310772,26.5838537072368,2.99755946324197e-10,1.28638566751342e-06
"SYK",-3.11721953217106,1.81977012704168,-26.4297918537592,3.16583839420858e-10,1.28638566751342e-06
"TSPAN6",2.2235558424758,0.576152715836168,20.4485361717856,3.49678177886639e-09,8.28439692041155e-06
"TES",-3.30765266549636,2.19355439575261,-20.1961237355461,3.92582333906726e-09,8.28439692041155e-06
"JPH1",2.00904451203523,1.0076327142302,20.1137796184816,4.07810176686713e-09,8.28439692041155e-06
"ITGA2B",3.16805370018954,1.5648098147185,19.7837503646058,4.75724187390327e-09,8.28439692041155e-06
"HCLS1",-3.22378493715776,2.01489336416967,-18.446426295314,9.11622697888275e-09,1.26287790524208e-05
"EYA1",1.72719630494804,0.530808543142909,18.4016781258822,9.32395500178734e-09,1.26287790524208e-05
"LIN28A",5.57726554410247,3.45301343171525,17.8997863842195,1.20482285265181e-08,1.46867905738256e-05
"RGAG1",1.3944364133023,0.460474009135731,17.5585175850401,1.43986374572181e-08,1.59563082366808e-05
"COLGALT2",-2.9502258032373,1.64810894839083,-17.1885213483672,1.75330842408171e-08,1.78106914079633e-05
"PALMD",2.91966471041723,2.72490011873403,15.1442921508735,5.62483612204371e-08,5.0893727686071e-05
"HDGFRP3",-2.61741343391392,1.64005997998719,-14.9783668364276,6.22233555260181e-08,5.0893727686071e-05
"SCN9A",-1.31072660676311,0.966704078435665,-14.9678337676013,6.26255878007436e-08,5.0893727686071e-05
"APH1B",-1.346799731286,1.6759077356361,-14.7403129028751,7.20522827901424e-08,5.24927024188269e-05
"C12orf75",2.52831736877907,1.38411846940521,14.7147488998457,7.32055735127201e-08,5.24927024188269e-05
"DOCK8",-1.99840267587274,2.86481415233725,-12.9999545410883,2.26081592190393e-07,0.000153107478266716
"SGCZ",2.15796531257128,0.92516488753715,12.9184489579717,2.39319396195129e-07,0.000153542286295717
"IGSF11",1.05441037575783,0.56046954552455,12.4886880572114,3.24825992917118e-07,0.000193988786231827
"CROT",-1.67350431354242,1.04840804197547,-12.4387750030255,3.36762822628363e-07,0.000193988786231827
"TLE2",-1.87283396322737,1.76268406119445,-12.3852460339566,3.50102813543905e-07,0.000193988786231827
"SORT1",-1.10400210934701,4.49550856601931,-12.2676459540527,3.8149706582064e-07,0.000202193444884939
"NOTCH2",2.43770566196463,1.53089778132353,11.969378074765,4.75917403563629e-07,0.000241726381226693
"GRID1",0.963265749824001,0.341506852900108,11.7814149008203,5.48467889675697e-07,0.00026743294300587
"SPINT1",-0.98018826674881,1.21492142398936,-11.4376941298589,7.14679100249358e-07,0.000331113056486706
"PRDM9",3.44567764632091,1.92680548367361,11.4046085566206,7.3339233184094e-07,0.000331113056486706
"TUSC3",-1.05398398439567,3.61706529033678,-11.1758531404757,8.78491151738047e-07,0.000382457397845957
"DACH1",1.01893149348239,0.658164531330527,11.0092391376636,1.00398256578638e-06,0.000422018878515035
"DCAF8L2",1.67003520116802,0.503156404031051,10.8605543212503,1.13271726243802e-06,0.000460260780970647
"WWTR1",1.49580378529749,0.777155309074439,10.7494941190126,1.24069330230652e-06,0.000487872624358595
"TIFA",-1.4162774771542,1.30606954053323,-10.675539702844,1.31883862673476e-06,0.000502395089371775
"ALDH1A1",-2.15930406094372,1.47220130217551,-10.5477601842673,1.4668993158753e-06,0.000541863716985452
"PPIP5K1",-0.820966648232318,2.57138722903822,-10.4034579926841,1.6563961398268e-06,0.00059386673366143
"CES1",1.94959213758067,0.539073634951395,10.2990598321283,1.81020642646027e-06,0.000630469038244306
"ZNF790",1.02685217931414,0.651314586970729,10.2272106016663,1.92514004871381e-06,0.000651873810939481
"ZNF728",2.15990141902663,1.60775398597766,10.1825365302833,2.0006240918329e-06,0.000659124531876838
"COL1A2",-1.94851832571512,0.984297267052021,-10.029450953037,2.28495152532974e-06,0.000699835419505727
"FAM178B",-3.3241354126968,3.53959935238192,-10.0106348991572,2.32285265769391e-06,0.000699835419505727
"DUSP16",-0.886212434829386,2.02436206913757,-9.99901373195911,2.34660508706234e-06,0.000699835419505727
"SLCO2B1",1.7622602077045,1.51870858239561,9.97434961932352,2.39790294862369e-06,0.000699835419505727
"FOXP1",-1.89740147643881,1.48280195238177,-9.96802902066818,2.41124590805911e-06,0.000699835419505727
"AMIGO2",-1.27665668391879,1.41695929635174,-9.53760858902132,3.54358023220702e-06,0.00100456379140939
"ARHGEF10",1.05413530611196,1.92128517072329,9.34006257874823,4.24900652905637e-06,0.00117409215416948
"ZNF527",0.904992987884533,0.713724982199826,9.31866221922663,4.33422042146239e-06,0.00117409215416948
"CD82",1.02819566276982,1.8176774538395,9.2120520510598,4.7875647232773e-06,0.00126870465166848
"CD36",4.84904883653469,2.9782798640457,9.1890912504157,4.89184844865602e-06,0.00126875814019398
"IGF2BP2",0.926812931337892,4.88399847606379,9.15188453212031,5.06615253810632e-06,0.00128659165498992
"ZNF486",1.83450193780672,0.747467852189283,9.11916163668647,5.22507854720376e-06,0.00129987158143702
"EPCAM",-1.25582457534379,5.04120625250888,-9.03123656924129,5.67978726159077e-06,0.00138473213437583
"VENTX",1.48829981451137,0.983747261566027,8.97802695679084,5.975884163697e-06,0.00142835348932287
"SOX6",-1.03973254321904,0.887954804078443,-8.90050635755933,6.43792439166311e-06,0.00150919804489179
"WNT5B",-1.69014786132205,1.66264581495026,-8.83539125801555,6.85629558974851e-06,0.00157694798564216
"BLM",-1.31641830389565,3.62723866028142,-8.71595981176994,7.70309408344106e-06,0.0017389021643916
"S100A16",1.85293125434997,2.3569719664486,8.65865346186737,8.14947411922857e-06,0.00180343791570303
"UBASH3A",2.17842792090056,2.04238863158578,8.64194797294581,8.28486655286053e-06,0.00180343791570303
"FLT3",3.33314842194025,6.92178504297301,8.4897376725098,9.63821729975501e-06,0.00205781456638568
"FGF2",-1.95724058754209,2.62638627968214,-8.4740306657132,9.79107833062916e-06,0.00205781456638568
