"go_id","go_name","aspect","n_pathway","n_matched","dsge","p_value","p_adj"
"GO:0099634","postsynaptic specialization membrane","CC",36,36,0.621976261705903,0,0
"GO:0060078","regulation of postsynaptic membrane potential","BP",69,53,0.566325646225916,5.38458166943201e-15,4.84612350248881e-12
"GO:1904315","transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential","MF",41,41,0.610942998492648,4.6296300126869e-15,4.84612350248881e-12
"GO:0098982","GABA-ergic synapse","CC",116,115,0.369302999443784,3.85520415591145e-10,2.60226280524023e-07
"GO:0045211","postsynaptic membrane","CC",242,236,0.204638919788445,1.66175128102353e-09,8.97345691752705e-07
"GO:0032590","dendrite membrane","CC",34,32,0.770986513199357,2.14092411576772e-09,9.63415852095473e-07
"GO:1904862","inhibitory synapse assembly","BP",25,25,0.899791531188526,4.69592119634044e-09,1.81128389001703e-06
"GO:0098978","glutamatergic synapse","CC",567,545,0.115691623006103,7.56209511676431e-09,2.55220710190796e-06
"GO:0007612","learning","BP",43,43,0.506977823697992,4.96024424756492e-08,1.48807327426947e-05
"GO:0007268","chemical synaptic transmission","BP",214,194,0.215408100895537,1.97891212261325e-07,5.34306273105578e-05
"GO:0007399","nervous system development","BP",381,373,0.137084844257202,2.53914864611904e-07,6.23245576774673e-05
"GO:0099560","synaptic membrane adhesion","BP",33,33,0.656770266005731,3.03035067872326e-07,6.81828902712733e-05
"GO:0042734","presynaptic membrane","CC",160,156,0.242924630187064,4.54220392198668e-07,9.43380814566463e-05
"GO:0030425","dendrite","CC",482,479,0.11884329700845,5.994444905566e-07,0.000115607151750201
"GO:0032281","AMPA glutamate receptor complex","CC",28,28,0.817995161569583,7.9081628949762e-07,0.000142346932109572
"GO:0098839","postsynaptic density membrane","CC",117,117,0.293091589224169,1.01941857467702e-06,0.000172026884476748
"GO:0043235","signaling receptor complex","CC",199,198,0.180426344898681,2.21989436240966e-06,0.000352571457559181
"GO:0034220","monoatomic ion transmembrane transport","BP",155,151,0.239662485712698,2.87951564236222e-06,0.000431927346354333
"GO:0051965","positive regulation of synapse assembly","BP",49,47,0.494318800941443,3.39154678237197e-06,0.00048195664802128
